price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,1060,17,25,0
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,4499,30,70,0
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,1310,19,17,0
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,1929,39,52,0
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,2862,35,57,0
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,2457,30,51,0
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,1261,35,57,0
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,2401,11,20,0
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,2192,15,27,0
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,3321,30,51,0
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,4236,21,26,0
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,4395,30,69,0
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,3074,36,54,0
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,1485,30,12,0
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,4307,30,69,0
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,477,19,17,0
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,1917,39,58,0
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,1502,7,23,0
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,623,8,15,0
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,758,15,27,0
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,3728,30,51,0
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,2027,39,67,0
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,3274,30,64,0
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,3207,23,36,0
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2492,30,33,0
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,833,5,13,0
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,3218,30,41,0
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,3557,33,68,0
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,3477,31,55,0
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,3833,30,45,0
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,1619,33,38,0
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,2516,32,48,0
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,3372,30,51,0
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,3271,17,26,0
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,1754,7,23,0
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,3168,5,11,0
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,2104,30,46,0
287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,806,11,20,0
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,1787,24,32,0
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,3722,30,56,0
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,1256,37,61,0
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,636,14,18,0
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,1014,17,26,0
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,2074,30,56,0
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,436,30,12,0
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,1073,32,59,0
437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,1977,0,2061,31,50,0
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,1826,14,37,0
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,2134,30,46,0
838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,2001,0,3945,35,57,0
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,3282,31,50,0
550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,2842,36,65,0
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,3878,30,51,0
284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,1968,1997,820,25,39,0
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,2320,23,36,0
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,1998,39,67,0
491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997,2465,7,23,0
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,3818,28,43,0
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,1650,30,71,0
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,899,30,12,0
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,2849,28,43,0
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,2202,15,27,0
625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,0,3259,14,37,0
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,958,19,17,0
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,3273,14,37,0
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,2871,30,45,0
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,1595,31,50,0
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,1042,28,43,0
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,3791,35,63,0
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,1488,14,22,0
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,1230,7,23,0
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,3816,30,47,0
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,3279,30,47,0
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,2920,36,54,0
900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954,4066,33,68,0
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,2716,30,49,0
